time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.encoder_left_output,{bodyFMU}.body.encoder_right_output,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002
0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,143.00000000000003,143.00000000000003
0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,206.00000000000006,206.00000000000006
0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,233.00000000000006,233.00000000000006
0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,245.00000000000006,245.00000000000006
0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,252.00000000000006,251.00000000000006
0.060000000000000005,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,253.00000000000006,254.00000000000006
0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,253.00000000000006
0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.09999999999999999,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.10999999999999999,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.11999999999999998,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.12999999999999998,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.13999999999999999,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.16,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.17,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.18000000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.19000000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.20000000000000004,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.21000000000000005,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.22000000000000006,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.23000000000000007,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.24000000000000007,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.25000000000000006,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.26000000000000006,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.2700000000000001,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.2800000000000001,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.2900000000000001,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.3000000000000001,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.3100000000000001,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.3200000000000001,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.3300000000000001,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.34000000000000014,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.35000000000000014,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.36000000000000015,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.37000000000000016,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.38000000000000017,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.3900000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,255.00000000000006
0.4000000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.4100000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.4200000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.4300000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.4400000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.45000000000000023,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.46000000000000024,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,255.00000000000006
0.47000000000000025,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.48000000000000026,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,255.00000000000006
0.49000000000000027,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.5000000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.5100000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.5200000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.5300000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.5400000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.5500000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.5600000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.5700000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.5800000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.5900000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.6000000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.6100000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.6200000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.6300000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.6400000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.6500000000000004,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.6600000000000004,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.6700000000000004,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.6800000000000004,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.6900000000000004,0.01,0.0,0.0,0.0,0.0,0.0,0.138,-0.08,0.0,0.1,-0.1,254.00000000000006,254.00000000000006
0.7000000000000004,0.01,0.0,0.003272944873187979,0.0,0.0,0.0,0.138,-0.0799861454373893,0.0,0.1,-0.1,255.00000000000006,255.00000000000006
0.7100000000000004,0.01,0.0,0.004135296643492896,0.0,0.0,0.0,0.138,-0.07994896268601752,0.0,0.1,-0.1,254.00000000000006,254.00000000000006
0.7200000000000004,0.01,0.0,0.004462803563252593,0.0,0.0,0.0,0.138,-0.07990621327784496,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.7300000000000004,0.01,0.0,0.008016014434609175,0.0,0.0,0.0,0.138,-0.07984659912431666,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.7400000000000004,0.01,0.0,0.00914977386618565,0.0,0.0,0.0,0.138,-0.07976089495111964,0.0,0.2,-0.2,255.00000000000006,254.00000000000006
0.7500000000000004,0.01,0.0,0.00974260438381946,0.0,0.0,0.0,0.138,-0.07966693484002223,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.7600000000000005,0.01,0.0,0.010282415868030163,0.0,0.0,0.0,0.138,-0.07956733454672138,0.0,0.2,-0.2,254.00000000000006,255.00000000000006
0.7700000000000005,0.01,0.0,0.010807728086204968,0.0,0.0,0.0,0.138,-0.07946239963098074,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.7800000000000005,0.01,0.0,0.011321438669120165,0.0,0.0,0.0,0.138,-0.07935225855485216,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.7900000000000005,0.01,0.0,0.011823973520695396,0.0,0.0,0.0,0.138,-0.07923702529370297,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.8000000000000005,0.01,0.0,0.012315587120975673,0.0,0.0,0.0,0.138,-0.07911681056042007,0.0,0.2,-0.2,254.00000000000006,255.00000000000006
0.8100000000000005,0.01,0.0,0.012796517572411067,0.0,0.0,0.0,0.138,-0.07899172260949357,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.8200000000000005,0.01,0.0,0.013266997078824085,0.0,0.0,0.0,0.138,-0.07886186733946277,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.8300000000000005,0.01,0.0,0.013727252749720774,0.0,0.0,0.0,0.138,-0.07872734834738644,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.8400000000000005,0.01,0.0,0.01417750675613598,0.0,0.0,0.0,0.138,-0.07858826697907415,0.0,0.2,-0.2,254.00000000000006,255.00000000000006
0.8500000000000005,0.01,0.0,0.014617976440963356,0.0,0.0,0.0,0.138,-0.07844472237802197,0.0,0.2,-0.2,254.00000000000006,255.00000000000006
0.8600000000000005,0.01,0.0,0.015048874424075294,0.0,0.0,0.0,0.138,-0.07829681153327127,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.8700000000000006,0.01,0.0,0.015470408704970766,0.0,0.0,0.0,0.138,-0.07814462932622646,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.8800000000000006,0.01,0.0,0.01588278276318006,0.0,0.0,0.0,0.138,-0.07798826857645538,0.0,0.2,-0.2,255.00000000000006,254.00000000000006
0.8900000000000006,0.01,0.0,0.016286195656486747,0.0,0.0,0.0,0.138,-0.07782782008649444,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.9000000000000006,0.01,0.0,0.016680842117015256,0.0,0.0,0.0,0.138,-0.07766337268567997,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.9100000000000006,0.01,0.0,0.017066912645230324,1.0,-1.0,0.0,0.138,-0.07749501327302726,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.9200000000000006,0.01,0.0,0.01744459360189379,1.0,-1.0,0.0,0.138,-0.0773228268591777,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.9300000000000006,0.01,0.0,0.017814067298023147,1.0,-1.0,0.0,0.138,-0.07714689660743444,0.0,0.2,-0.2,254.00000000000006,255.00000000000006
0.9400000000000006,0.01,0.0,0.018175512082895168,1.0,-1.0,0.0,0.138,-0.07696730387390625,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.9500000000000006,0.01,0.0,0.01852910243013722,1.0,-1.0,0.0,0.138,-0.07678412824677908,0.0,0.2,-0.2,254.00000000000006,254.00000000000006
0.9600000000000006,0.01,0.0,0.018875009021947702,1.0,-1.0,0.0,0.138,-0.0765974475847342,0.0,0.2,-0.2,254.00000000000006,255.00000000000006
0.9700000000000006,0.01,0.0,0.01921339883148636,1.0,-1.0,0.0,0.138,-0.07640733805453157,0.0,0.2,-0.2,255.00000000000006,254.00000000000006
0.9800000000000006,0.01,0.0,0.01954443520347416,1.0,-1.0,0.0,0.138,-0.07621387416777627,0.0,0.3,-0.3,255.00000000000006,254.00000000000006
0.9900000000000007,0.01,0.0,0.023141222806229694,1.0,-1.0,0.0,0.138,-0.07600327425427558,0.0,0.3,-0.3,254.00000000000006,254.00000000000006
